                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2747,                0.71173,                 1.0118,                0.83741,                0.59711,                0.67721,                 0.3849,                 1.2601,                0.65102,                 1.0012,               0.006535,               0.006535,               0.006535
                     37,                 1.2636,                0.70651,                 1.0096,                0.84986,                 0.5899,                0.66949,                0.38435,                 1.2585,                 0.6467,                 1.0008,               0.006436,               0.006436,               0.006436
                     38,                 1.2679,                0.70513,                 1.0106,                0.84338,                0.59498,                0.67839,                0.38688,                 1.2554,                0.64372,                0.99919,               0.006337,               0.006337,               0.006337
                     39,                  1.262,                0.70137,                 1.0107,                0.84218,                 0.5965,                0.68085,                0.38978,                 1.2514,                 0.6413,                0.99828,               0.006238,               0.006238,               0.006238
                     40,                 1.2605,                0.70093,                 1.0077,                0.85643,                0.58849,                0.67614,                0.38937,                  1.249,                0.63934,                0.99714,               0.006139,               0.006139,               0.006139
                     41,                 1.2534,                0.69655,                 1.0046,                0.84723,                0.59365,                0.68114,                0.39171,                 1.2482,                0.63722,                0.99582,                0.00604,                0.00604,                0.00604
                     42,                 1.2486,                0.69327,                 1.0034,                0.84807,                0.59635,                0.68534,                0.39379,                 1.2442,                0.63487,                0.99422,               0.005941,               0.005941,               0.005941
                     43,                 1.2523,                0.69207,                 1.0036,                0.84277,                0.60427,                0.69488,                0.39591,                  1.242,                0.63147,                  0.993,               0.005842,               0.005842,               0.005842
                     44,                 1.2458,                0.68858,                 1.0021,                0.83839,                0.60167,                 0.6937,                0.39593,                 1.2394,                0.62958,                0.99177,               0.005743,               0.005743,               0.005743
                     45,                 1.2462,                0.68607,                 1.0008,                0.83869,                0.60253,                0.69337,                0.39615,                 1.2381,                0.62614,                0.99093,               0.005644,               0.005644,               0.005644
                     46,                 1.2391,                0.68367,                 1.0004,                0.85375,                 0.5985,                0.69392,                0.39706,                 1.2361,                0.62407,                0.99051,               0.005545,               0.005545,               0.005545
                     47,                 1.2385,                0.68161,                 1.0011,                0.85421,                 0.6024,                0.69501,                0.39888,                 1.2338,                0.62256,                0.99021,               0.005446,               0.005446,               0.005446
                     48,                 1.2368,                0.68043,                  0.998,                0.85564,                0.60166,                0.69627,                0.40023,                 1.2322,                0.62107,                0.98968,               0.005347,               0.005347,               0.005347
                     49,                 1.2302,                 0.6755,                0.99717,                0.85571,                0.59802,                 0.6981,                0.40182,                 1.2314,                0.61993,                 0.9892,               0.005248,               0.005248,               0.005248
