                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                   1.05,                 0.5375,                 0.9625,                0.84457,                0.69728,                0.78778,                0.47648,                 1.1046,                0.50672,                0.98218,               0.006535,               0.006535,               0.006535
                     37,                 1.0406,                0.53176,                 0.9644,                0.83193,                0.71671,                0.79216,                0.48113,                 1.1021,                 0.5042,                0.98135,               0.006436,               0.006436,               0.006436
                     38,                 1.0374,                0.52847,                0.95925,                0.83708,                 0.7154,                0.79578,                0.48597,                  1.101,                0.50181,                0.97961,               0.006337,               0.006337,               0.006337
                     39,                 1.0323,                0.52549,                0.95906,                0.83042,                0.72879,                0.79425,                0.48773,                 1.0968,                0.50005,                0.97899,               0.006238,               0.006238,               0.006238
                     40,                 1.0277,                0.52309,                0.95801,                0.82659,                 0.7301,                0.79489,                0.48914,                 1.0921,                0.49792,                0.97786,               0.006139,               0.006139,               0.006139
                     41,                 1.0232,                0.51993,                0.95868,                0.82684,                0.72305,                0.79651,                0.48923,                 1.0875,                0.49625,                0.97711,                0.00604,                0.00604,                0.00604
                     42,                 1.0128,                0.51623,                0.95374,                0.85911,                0.70369,                0.79775,                0.49036,                 1.0842,                0.49466,                0.97596,               0.005941,               0.005941,               0.005941
                     43,                 1.0089,                0.51188,                0.95257,                0.85095,                 0.7137,                0.79935,                0.49403,                  1.081,                0.49315,                0.97539,               0.005842,               0.005842,               0.005842
                     44,                  1.003,                0.50767,                0.95103,                 0.8565,                0.71288,                0.80314,                0.49671,                 1.0787,                 0.4916,                0.97477,               0.005743,               0.005743,               0.005743
                     45,                0.99829,                 0.5032,                0.94856,                 0.8588,                0.71145,                0.80769,                0.49936,                 1.0763,                0.48936,                 0.9736,               0.005644,               0.005644,               0.005644
                     46,                0.99482,                0.50435,                 0.9472,                0.86629,                 0.7116,                0.81178,                0.50064,                 1.0738,                0.48831,                0.97247,               0.005545,               0.005545,               0.005545
                     47,                0.99311,                0.50301,                0.94564,                0.86066,                0.71738,                0.81269,                0.50002,                 1.0713,                0.48594,                0.97148,               0.005446,               0.005446,               0.005446
                     48,                0.98607,                0.49814,                0.94486,                0.86193,                0.71751,                0.81273,                0.49995,                 1.0689,                0.48553,                0.97076,               0.005347,               0.005347,               0.005347
                     49,                0.97939,                0.49445,                0.94259,                0.86734,                0.71678,                0.81229,                0.50144,                 1.0666,                0.48458,                 0.9703,               0.005248,               0.005248,               0.005248
                     50,                 0.9777,                0.49419,                0.94049,                0.86956,                0.71662,                0.81351,                0.50226,                 1.0645,                0.48342,                0.96988,               0.005149,               0.005149,               0.005149
                     51,                0.96823,                0.48986,                0.93731,                0.87177,                0.71438,                0.81285,                0.50252,                 1.0628,                0.48239,                0.96948,                0.00505,                0.00505,                0.00505
                     52,                 0.9682,                 0.4883,                0.93521,                0.87133,                0.71365,                0.81257,                0.49943,                 1.0614,                0.48175,                0.96871,               0.004951,               0.004951,               0.004951
                     53,                0.96057,                0.48411,                 0.9338,                0.87161,                0.71346,                 0.8115,                0.50112,                   1.06,                0.48099,                0.96792,               0.004852,               0.004852,               0.004852
                     54,                0.95934,                0.48441,                0.93421,                0.87395,                0.71203,                0.81082,                 0.5014,                 1.0584,                0.47979,                0.96742,               0.004753,               0.004753,               0.004753
                     55,                0.95429,                0.47954,                 0.9321,                 0.8773,                0.71186,                0.81253,                0.50084,                 1.0567,                0.47861,                0.96686,               0.004654,               0.004654,               0.004654
                     56,                0.94628,                0.47703,                0.93069,                 0.8777,                0.71213,                0.81147,                0.49973,                 1.0549,                0.47716,                0.96634,               0.004555,               0.004555,               0.004555
                     57,                0.94775,                0.47674,                0.93014,                0.87787,                0.71168,                0.81191,                 0.5007,                 1.0535,                0.47642,                0.96592,               0.004456,               0.004456,               0.004456
                     58,                0.93819,                0.47137,                0.92676,                0.87655,                0.71551,                0.81212,                0.50127,                 1.0516,                0.47523,                0.96546,               0.004357,               0.004357,               0.004357
                     59,                0.93241,                0.46926,                0.92557,                0.87601,                0.71638,                0.81312,                0.50179,                 1.0505,                0.47471,                0.96519,               0.004258,               0.004258,               0.004258
                     60,                0.93097,                0.46484,                0.92517,                0.87451,                0.71738,                 0.8133,                0.50342,                 1.0494,                0.47369,                0.96487,               0.004159,               0.004159,               0.004159
                     61,                 0.9274,                0.46441,                0.92558,                0.87595,                0.71792,                0.81395,                0.50412,                 1.0482,                0.47266,                0.96447,                0.00406,                0.00406,                0.00406
                     62,                0.92272,                0.46376,                0.92215,                0.87892,                0.71698,                0.81423,                0.50474,                  1.047,                0.47194,                0.96399,               0.003961,               0.003961,               0.003961
                     63,                0.91596,                0.45941,                0.92159,                 0.8778,                0.71778,                0.81444,                0.50519,                 1.0458,                0.47069,                0.96358,               0.003862,               0.003862,               0.003862
                     64,                0.91587,                0.45868,                0.92043,                0.87795,                0.71773,                0.81536,                0.50616,                 1.0447,                0.47034,                0.96317,               0.003763,               0.003763,               0.003763
                     65,                0.90667,                0.45457,                 0.9172,                0.87722,                0.71979,                0.81465,                0.50605,                 1.0434,                0.46974,                0.96269,               0.003664,               0.003664,               0.003664
                     66,                0.90501,                0.45206,                0.91609,                0.87896,                0.71986,                0.81465,                0.50518,                 1.0419,                0.46924,                0.96223,               0.003565,               0.003565,               0.003565
                     67,                0.90406,                0.45091,                0.91629,                0.88099,                0.72028,                0.81269,                0.50555,                 1.0403,                0.46842,                0.96177,               0.003466,               0.003466,               0.003466
                     68,                0.89569,                0.44766,                0.91424,                0.88294,                0.72012,                 0.8118,                0.50571,                 1.0391,                0.46803,                0.96136,               0.003367,               0.003367,               0.003367
                     69,                0.89203,                0.44557,                0.91193,                0.88299,                0.72033,                0.81231,                0.50625,                 1.0378,                0.46698,                0.96092,               0.003268,               0.003268,               0.003268
                     70,                 0.8904,                0.44547,                0.91431,                0.88456,                0.72005,                 0.8124,                0.50666,                 1.0366,                0.46621,                0.96047,               0.003169,               0.003169,               0.003169
                     71,                0.88501,                0.44127,                0.90986,                0.88421,                0.72128,                0.81357,                0.50609,                 1.0355,                0.46563,                0.96009,                0.00307,                0.00307,                0.00307
