                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.45989,                0.27932,                 0.8366,                0.72306,                0.55833,                0.62797,                0.35511,                 1.2593,                0.61402,                 1.0578,               0.006436,               0.006436,               0.006436
                     38,                0.45998,                  0.279,                0.83722,                0.71333,                  0.566,                0.62902,                0.35748,                 1.2573,                0.61282,                  1.056,               0.006337,               0.006337,               0.006337
                     39,                0.45672,                0.27758,                0.83639,                0.72781,                0.56925,                0.63253,                0.35996,                 1.2526,                0.60758,                 1.0546,               0.006238,               0.006238,               0.006238
                     40,                0.45428,                0.27663,                0.83508,                0.74183,                0.55953,                 0.6367,                0.36146,                 1.2496,                0.60527,                 1.0516,               0.006139,               0.006139,               0.006139
                     41,                 0.4511,                0.27311,                0.83511,                  0.738,                0.56476,                0.63811,                0.36335,                 1.2452,                0.60291,                 1.0512,                0.00604,                0.00604,                0.00604
                     42,                0.44819,                0.27218,                0.83526,                0.72373,                0.57413,                  0.637,                0.36393,                 1.2406,                 0.6011,                 1.0498,               0.005941,               0.005941,               0.005941
                     43,                0.44477,                0.26847,                0.83335,                 0.7132,                 0.5756,                0.63789,                0.36516,                 1.2385,                0.59769,                 1.0477,               0.005842,               0.005842,               0.005842
                     44,                 0.4408,                0.26719,                0.83143,                0.72883,                0.56883,                0.63984,                0.36771,                 1.2347,                0.59327,                 1.0456,               0.005743,               0.005743,               0.005743
                     45,                0.43832,                0.26378,                0.83109,                0.73389,                 0.5689,                0.64097,                0.36773,                 1.2335,                0.59012,                 1.0449,               0.005644,               0.005644,               0.005644
                     46,                0.43601,                0.26434,                0.83161,                0.71699,                0.58423,                0.64465,                0.37149,                 1.2299,                0.58824,                 1.0441,               0.005545,               0.005545,               0.005545
                     47,                0.43091,                0.26044,                0.83066,                0.82283,                0.58579,                0.64706,                0.37411,                 1.2289,                0.58535,                 1.0433,               0.005446,               0.005446,               0.005446
                     48,                0.43072,                0.26031,                0.83044,                 0.7349,                0.58677,                0.65081,                0.37621,                 1.2267,                0.58506,                 1.0423,               0.005347,               0.005347,               0.005347
                     49,                0.43084,                0.25963,                0.83215,                0.74153,                0.58594,                  0.651,                0.37715,                 1.2245,                0.58214,                 1.0421,               0.005248,               0.005248,               0.005248
                     50,                0.42555,                 0.2561,                0.83085,                 0.8331,                0.58393,                0.65044,                0.37726,                 1.2223,                0.58039,                 1.0415,               0.005149,               0.005149,               0.005149
                     51,                0.42041,                0.25353,                0.82847,                0.83532,                0.58287,                0.65156,                0.37856,                 1.2194,                0.57969,                 1.0406,                0.00505,                0.00505,                0.00505
                     52,                0.41873,                0.25297,                0.82828,                0.83339,                0.58267,                0.65179,                0.37939,                 1.2163,                0.57797,                 1.0393,               0.004951,               0.004951,               0.004951
                     53,                0.41682,                0.25022,                0.82816,                0.82804,                0.58529,                0.65267,                0.37982,                 1.2141,                0.57699,                 1.0385,               0.004852,               0.004852,               0.004852
                     54,                0.41528,                0.24956,                0.82699,                0.83504,                0.58739,                0.65444,                0.38123,                 1.2118,                0.57541,                 1.0376,               0.004753,               0.004753,               0.004753
                     55,                0.41122,                0.24815,                0.82734,                0.83387,                0.59029,                  0.655,                0.38254,                 1.2109,                0.57401,                 1.0373,               0.004654,               0.004654,               0.004654
                     56,                0.40988,                 0.2454,                0.82711,                0.83361,                0.59027,                0.65543,                0.38313,                 1.2094,                0.57174,                 1.0369,               0.004555,               0.004555,               0.004555
                     57,                0.41093,                0.24618,                0.82609,                0.82843,                0.59307,                0.65708,                0.38449,                 1.2077,                0.57042,                  1.036,               0.004456,               0.004456,               0.004456
                     58,                0.40678,                0.24394,                0.82634,                0.83653,                0.59366,                0.65842,                 0.3854,                 1.2052,                0.56852,                  1.035,               0.004357,               0.004357,               0.004357
                     59,                0.40584,                  0.243,                0.82485,                0.83638,                0.59543,                0.65924,                0.38624,                 1.2035,                0.56713,                 1.0342,               0.004258,               0.004258,               0.004258
                     60,                0.40283,                0.24073,                0.82453,                0.83892,                0.59888,                0.65863,                0.38705,                  1.202,                0.56591,                 1.0335,               0.004159,               0.004159,               0.004159
                     61,                0.39657,                0.23808,                0.82306,                0.83825,                0.59811,                0.65973,                0.38775,                    1.2,                0.56488,                 1.0324,                0.00406,                0.00406,                0.00406
                     62,                0.39578,                0.23633,                0.82258,                0.84054,                0.59713,                 0.6602,                0.38861,                 1.1984,                0.56379,                 1.0315,               0.003961,               0.003961,               0.003961
                     63,                0.39355,                0.23419,                0.82181,                0.84085,                0.59534,                0.66196,                0.38901,                 1.1974,                0.56256,                 1.0309,               0.003862,               0.003862,               0.003862
                     64,                   0.39,                0.23274,                0.82151,                0.84287,                0.59592,                0.66213,                0.38978,                 1.1961,                0.56158,                 1.0303,               0.003763,               0.003763,               0.003763
