                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.2237,                0.67864,                0.98751,                0.84431,                0.57419,                0.65048,                0.37799,                 1.2332,                0.62881,                0.98442,               0.007327,               0.007327,               0.007327
                     83,                 1.2248,                0.67993,                0.98756,                 0.8445,                0.57386,                0.65068,                0.37844,                 1.2326,                0.62857,                0.98423,               0.007294,               0.007294,               0.007294
                     84,                 1.2225,                0.67664,                0.98732,                0.84687,                 0.5741,                0.65092,                0.37915,                 1.2319,                 0.6275,                 0.9839,               0.007261,               0.007261,               0.007261
                     85,                 1.2231,                0.67751,                0.98699,                0.84924,                0.57391,                0.65098,                0.37913,                 1.2314,                0.62712,                0.98359,               0.007228,               0.007228,               0.007228
                     86,                 1.2198,                0.67516,                0.98694,                0.85262,                0.57497,                0.65159,                0.37948,                 1.2309,                0.62659,                0.98355,               0.007195,               0.007195,               0.007195
                     87,                 1.2198,                0.67596,                0.98601,                0.85494,                0.57363,                0.65213,                0.37995,                 1.2301,                0.62579,                0.98326,               0.007162,               0.007162,               0.007162
                     88,                 1.2147,                 0.6725,                0.98471,                0.85448,                0.57506,                0.65282,                0.38067,                 1.2289,                0.62534,                0.98287,               0.007129,               0.007129,               0.007129
                     89,                 1.2194,                0.67488,                0.98423,                0.85472,                0.57382,                0.65315,                0.38072,                 1.2286,                0.62486,                0.98269,               0.007096,               0.007096,               0.007096
                     90,                 1.2159,                0.67324,                0.98391,                0.85443,                  0.574,                0.65315,                0.38131,                  1.228,                0.62417,                0.98236,               0.007063,               0.007063,               0.007063
                     91,                  1.216,                0.67115,                0.98416,                 0.8521,                0.57558,                0.65435,                0.38218,                 1.2275,                0.62341,                0.98208,                0.00703,                0.00703,                0.00703
                     92,                 1.2156,                0.67282,                0.98476,                0.85376,                0.57342,                 0.6545,                0.38242,                 1.2267,                0.62268,                0.98181,               0.006997,               0.006997,               0.006997
                     93,                 1.2161,                 0.6729,                0.98635,                0.85348,                0.57293,                0.65524,                 0.3827,                 1.2256,                0.62181,                0.98143,               0.006964,               0.006964,               0.006964
                     94,                  1.212,                0.67003,                0.98449,                0.85401,                  0.573,                0.65536,                0.38326,                 1.2251,                0.62153,                0.98124,               0.006931,               0.006931,               0.006931
                     95,                  1.213,                0.67187,                0.98325,                0.84996,                0.57636,                0.65606,                 0.3837,                 1.2244,                0.62072,                0.98103,               0.006898,               0.006898,               0.006898
                     96,                 1.2117,                0.66933,                0.98394,                0.85214,                0.57458,                0.65621,                0.38403,                  1.224,                 0.6204,                0.98086,               0.006865,               0.006865,               0.006865
                     97,                 1.2136,                0.66942,                0.98432,                0.85462,                0.57367,                  0.657,                0.38452,                 1.2231,                0.61992,                0.98069,               0.006832,               0.006832,               0.006832
                     98,                 1.2108,                0.67095,                0.98419,                0.85594,                0.57309,                0.65774,                0.38494,                 1.2224,                0.61926,                0.98038,               0.006799,               0.006799,               0.006799
                     99,                 1.2124,                0.66925,                0.98361,                0.85431,                0.57416,                0.65865,                0.38561,                 1.2218,                0.61851,                0.98023,               0.006766,               0.006766,               0.006766
                    100,                 1.2057,                0.66676,                0.98317,                0.85711,                0.57481,                0.65945,                0.38575,                 1.2214,                0.61817,                0.97999,               0.006733,               0.006733,               0.006733
                    101,                 1.2099,                0.66935,                0.98191,                0.85578,                0.57542,                0.65984,                0.38644,                 1.2206,                0.61748,                0.97963,                 0.0067,                 0.0067,                 0.0067
                    102,                   1.21,                0.66527,                0.98182,                0.85468,                0.57702,                0.66094,                0.38684,                 1.2201,                0.61707,                0.97947,               0.006667,               0.006667,               0.006667
                    103,                  1.202,                 0.6636,                0.97998,                0.85256,                0.57856,                0.66143,                0.38721,                 1.2193,                0.61648,                0.97922,               0.006634,               0.006634,               0.006634
