                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2944,                 0.7361,                 1.0145,                 0.8379,                0.54284,                0.61643,                0.34929,                 1.2824,                0.67123,                 1.0043,               0.008845,               0.008845,               0.008845
                     37,                 1.2935,                0.73521,                 1.0135,                0.83015,                0.55612,                0.62771,                0.35589,                 1.2777,                0.66765,                 1.0013,               0.008812,               0.008812,               0.008812
                     38,                 1.2944,                0.73552,                 1.0138,                0.82831,                0.55542,                0.62716,                  0.358,                 1.2757,                0.66593,                 1.0008,               0.008779,               0.008779,               0.008779
                     39,                 1.2913,                0.73124,                 1.0124,                0.83882,                0.55287,                0.62755,                0.35754,                 1.2736,                0.66358,                0.99951,               0.008746,               0.008746,               0.008746
                     40,                  1.291,                0.72946,                 1.0136,                0.83801,                0.55104,                0.62436,                0.35623,                 1.2713,                0.66133,                0.99913,               0.008713,               0.008713,               0.008713
                     41,                 1.2852,                0.72704,                 1.0104,                0.83853,                0.55766,                0.63279,                0.36113,                 1.2701,                0.65977,                0.99873,                0.00868,                0.00868,                0.00868
                     42,                 1.2819,                0.72554,                 1.0092,                0.82441,                0.56385,                0.63218,                0.35997,                 1.2664,                0.65723,                0.99718,               0.008647,               0.008647,               0.008647
                     43,                 1.2764,                0.72084,                 1.0071,                0.82252,                0.56379,                0.63499,                0.36256,                 1.2649,                 0.6548,                0.99605,               0.008614,               0.008614,               0.008614
                     44,                 1.2802,                0.72268,                 1.0078,                0.81457,                0.50769,                0.56738,                0.32493,                 1.2638,                0.65295,                0.99563,               0.008581,               0.008581,               0.008581
                     45,                 1.2744,                0.71828,                 1.0062,                0.82427,                0.47507,                0.54072,                0.30798,                 1.2619,                0.65136,                0.99481,               0.008548,               0.008548,               0.008548
